view,layer,description,oot_auc,oot_auprc,oot_recall_at_0_5,oot_precision_at_0_5,delta_auc_vs_prev_layer,train_seconds,n_train_rows
modelling,L0_naive_random_default,"Naive notebook: random split, XGB defaults, no balancing",0.5466625224585316,0.09136609725819243,0.08158508158508158,0.5271084337349398,,19.57696139998734,480000
modelling,L1_temporal_default,+temporal split (Day-1 honest baseline fix),0.6574214679548385,0.16115083339577455,0.068997668997669,0.6166666666666667,0.11075894549630683,16.252756399917416,479999
modelling,L2_temporal_source_balanced_default,+source-balanced sample weights,0.696180215592977,0.1608393025972209,0.1076923076923077,0.7751677852348994,0.03875874763813858,17.605792300077155,479999
modelling,L3_temporal_source_balanced_optuna,+Optuna tuning (Day-5 champion),0.9479773886870319,0.23198044768793025,0.15897435897435896,0.41585365853658535,0.2517971730940548,45.4373118999647,479999
